hardness_mgL,conductivity_uScm
36.9826,126.0
101.7032,210.0
51.3514,118.0
6.965400000000001,54.0
8.213899999999999,47.0
8.4374,365.0
23.078,163.0
146.2636,307.0
8.200800000000001,1720.0
25.5398,66.0
177.4106,338.0
136.68,303.0
114.6,251.0
10.5357,311.0
13.519000000000002,236.0
44.762600000000006,135.0
60.849000000000004,387.0
50.685,132.0
85.074,187.0
4.8933,27.0
151.662,341.0
7.600700000000001,93.0
112.07679999999999,233.0
131.817,293.0
134.1904,263.0
170.7694,337.0
12.0822,46.0
5.055400000000001,82.0
12.020800000000001,292.0
22.105400000000003,93.0
70.2492,163.0
142.27659999999997,283.0
63.0128,612.0
223.31119999999999,430.0
22.955199999999998,101.0
8.1263,41.0
24.952799999999996,114.0
29.806800000000003,163.0
131.817,291.0
22.2061,77.0
11.333100000000002,47.0
55.1624,124.0
4.556,64.0
79.6682,208.0
6.7902000000000005,29.0
110.0178,307.0
143.1714,278.0
7.8635,49.0
117.711,263.0
132.0004,344.0
263.634,504.0
15.0786,327.0
28.3962,134.0
18.837200000000003,71.0
134.4974,319.0
183.11599999999999,391.0
26.985599999999998,106.0
95.2904,282.0
6.0672999999999995,465.0
2.4839,18.0
17.251399999999997,83.0
168.527,333.0
1.5727000000000002,276.0
9.4231,90.0
176.763,350.0
76.1642,371.0
1206.476,10600.0
18.8855,330.0
81.3154,258.0
245.148,1320.0
1.6602999999999999,337.0
25.075599999999998,685.0
121.54820000000001,253.0
19.2973,362.0
55.626599999999996,133.0
20.8086,59.0
230.55900000000003,527.0
127.699,321.0
13.1686,460.0
262.406,497.0
29.907500000000002,132.0
72.3344,165.0
104.35,279.0
7.202,46.0
122.705,288.0
137.6158,353.0
159.153,320.0
132.562,276.0
16.2395,54.0
126.82300000000001,435.0
15.3807,72.0
38.769800000000004,350.0
9.2258,51.0
401.36199999999997,975.0
9.151299999999999,34.0
50.9658,242.0
8.4374,105.0
35.125,123.0
6.378399999999999,27.0
151.662,394.0
21.693600000000004,81.0
170.893,340.0
109.9654,219.0
33.162600000000005,350.0
18.4737,83.0
60.0516,536.0
130.941,283.0
357.472,2650.0
93.355,303.0
4.3063,30.0
9.2741,51.0
25.811600000000002,809.0
22.9069,113.0
46.4884,143.0
40.8902,1450.0
288.383,566.0
12.6078,65.0
18.8986,58.0
25.776400000000002,83.0
124.9212,285.0
77.7402,192.0
81.132,259.0
129.013,269.0
51.8156,784.0
12.2222,57.0
65.2552,158.0
9.3003,73.0
50.5278,165.0
129.189,318.0
287.11400000000003,568.0
2.2342,62.0
6.5536,563.0
4.5691,255.0
141.2696,264.0
3.5703000000000005,261.0
33.653,303.0
68.0592,179.0
25.1018,102.0
175.887,351.0
185.5942,374.0
74.1576,304.0
28.273400000000002,164.0
4.4684,54.0
13.580400000000001,325.0
105.971,298.0
17.8736,615.0
14.2288,168.0
21.7198,423.0
289.087,525.0
86.10719999999999,187.0
104.35,280.0
